Year,variable,value
1970-01-01,extreme_temperature,0.0
1971-01-01,extreme_temperature,1.0
1972-01-01,extreme_temperature,2.0
1973-01-01,extreme_temperature,3.0
1974-01-01,extreme_temperature,0.0
1975-01-01,extreme_temperature,3.0
1976-01-01,extreme_temperature,0.0
1977-01-01,extreme_temperature,1.0
1978-01-01,extreme_temperature,1.0
1979-01-01,extreme_temperature,4.0
1980-01-01,extreme_temperature,3.0
1981-01-01,extreme_temperature,2.0
1982-01-01,extreme_temperature,3.0
1983-01-01,extreme_temperature,2.0
1984-01-01,extreme_temperature,1.0
1985-01-01,extreme_temperature,8.0
1986-01-01,extreme_temperature,2.0
1987-01-01,extreme_temperature,5.0
1988-01-01,extreme_temperature,6.0
1989-01-01,extreme_temperature,5.0
1990-01-01,extreme_temperature,13.0
1991-01-01,extreme_temperature,8.0
1992-01-01,extreme_temperature,7.0
1993-01-01,extreme_temperature,3.0
1994-01-01,extreme_temperature,9.0
1995-01-01,extreme_temperature,13.0
1996-01-01,extreme_temperature,5.0
1997-01-01,extreme_temperature,13.0
1998-01-01,extreme_temperature,12.0
1999-01-01,extreme_temperature,8.0
2000-01-01,extreme_temperature,30.0
2001-01-01,extreme_temperature,23.0
2002-01-01,extreme_temperature,15.0
2003-01-01,extreme_temperature,25.0
2004-01-01,extreme_temperature,16.0
2005-01-01,extreme_temperature,40.0
2006-01-01,extreme_temperature,14.0
2007-01-01,extreme_temperature,25.0
2008-01-01,extreme_temperature,16.0
2009-01-01,extreme_temperature,20.0
2010-01-01,extreme_temperature,28.0
2011-01-01,extreme_temperature,15.0
2012-01-01,extreme_temperature,52.0
2013-01-01,extreme_temperature,13.0
2014-01-01,extreme_temperature,17.0
2015-01-01,extreme_temperature,12.0
2016-01-01,extreme_temperature,12.0
2017-01-01,extreme_temperature,10.0
2018-01-01,extreme_temperature,27.0
2019-01-01,extreme_temperature,21.0
2020-01-01,extreme_temperature,5.0
2021-01-01,extreme_temperature,3.0
