Year,variable,value
1970-01-01,flood,31.0
1971-01-01,flood,15.0
1972-01-01,flood,15.0
1973-01-01,flood,20.0
1974-01-01,flood,17.0
1975-01-01,flood,17.0
1976-01-01,flood,16.0
1977-01-01,flood,47.0
1978-01-01,flood,47.0
1979-01-01,flood,34.0
1980-01-01,flood,39.0
1981-01-01,flood,41.0
1982-01-01,flood,48.0
1983-01-01,flood,48.0
1984-01-01,flood,46.0
1985-01-01,flood,57.0
1986-01-01,flood,49.0
1987-01-01,flood,66.0
1988-01-01,flood,75.0
1989-01-01,flood,46.0
1990-01-01,flood,60.0
1991-01-01,flood,75.0
1992-01-01,flood,59.0
1993-01-01,flood,84.0
1994-01-01,flood,88.0
1995-01-01,flood,93.0
1996-01-01,flood,92.0
1997-01-01,flood,95.0
1998-01-01,flood,94.0
1999-01-01,flood,122.0
2000-01-01,flood,157.0
2001-01-01,flood,156.0
2002-01-01,flood,171.0
2003-01-01,flood,158.0
2004-01-01,flood,128.0
2005-01-01,flood,191.0
2006-01-01,flood,226.0
2007-01-01,flood,217.0
2008-01-01,flood,165.0
2009-01-01,flood,151.0
2010-01-01,flood,184.0
2011-01-01,flood,156.0
2012-01-01,flood,136.0
2013-01-01,flood,148.0
2014-01-01,flood,137.0
2015-01-01,flood,161.0
2016-01-01,flood,159.0
2017-01-01,flood,127.0
2018-01-01,flood,128.0
2019-01-01,flood,195.0
2020-01-01,flood,202.0
2021-01-01,flood,222.0
