Year,variable,value
1970-01-01,wildfire,1.0
1971-01-01,wildfire,0.0
1972-01-01,wildfire,0.0
1973-01-01,wildfire,2.0
1974-01-01,wildfire,0.0
1975-01-01,wildfire,0.0
1976-01-01,wildfire,1.0
1977-01-01,wildfire,1.0
1978-01-01,wildfire,1.0
1979-01-01,wildfire,1.0
1980-01-01,wildfire,1.0
1981-01-01,wildfire,2.0
1982-01-01,wildfire,2.0
1983-01-01,wildfire,11.0
1984-01-01,wildfire,7.0
1985-01-01,wildfire,12.0
1986-01-01,wildfire,5.0
1987-01-01,wildfire,7.0
1988-01-01,wildfire,
1989-01-01,wildfire,2.0
1990-01-01,wildfire,4.0
1991-01-01,wildfire,8.0
1992-01-01,wildfire,8.0
1993-01-01,wildfire,2.0
1994-01-01,wildfire,13.0
1995-01-01,wildfire,7.0
1996-01-01,wildfire,4.0
1997-01-01,wildfire,15.0
1998-01-01,wildfire,18.0
1999-01-01,wildfire,21.0
2000-01-01,wildfire,30.0
2001-01-01,wildfire,14.0
2002-01-01,wildfire,22.0
2003-01-01,wildfire,14.0
2004-01-01,wildfire,8.0
2005-01-01,wildfire,13.0
2006-01-01,wildfire,9.0
2007-01-01,wildfire,18.0
2008-01-01,wildfire,5.0
2009-01-01,wildfire,9.0
2010-01-01,wildfire,7.0
2011-01-01,wildfire,8.0
2012-01-01,wildfire,6.0
2013-01-01,wildfire,10.0
2014-01-01,wildfire,4.0
2015-01-01,wildfire,13.0
2016-01-01,wildfire,10.0
2017-01-01,wildfire,15.0
2018-01-01,wildfire,10.0
2019-01-01,wildfire,14.0
2020-01-01,wildfire,9.0
2021-01-01,wildfire,19.0
