Category,Names,DQR,Agriculture,Transformation,Packaging,Transportation,Supermarket and distribution,Consumption,Total,Ag_Percent,Transformation_Percentage,Packaging_Percent,Transportation_Percentage,Distribution_Percentage,Consumption_Percentage,,
Vegetable,Eggplant,2.72,0.18,0,0,0.26,0.02,0.01,0.47,38.30,0.00,0.00,55.32,4.26,2.13,100.00,
Vegetable,Beetroot,2.91,0.09,0,0,0.26,0.02,0.03,0.41,21.95,0.00,0.00,63.41,4.88,7.32,97.56,
Vegetable,Broccoli,2.94,0.49,0.12,0.12,0.24,0.07,0.03,1.06,46.23,11.32,11.32,22.64,6.60,2.83,100.94,
Vegetable,Carrot,2.24,0.08,0,0,0.26,0.02,0.03,0.4,20.00,0.00,0.00,65.00,5.00,7.50,97.50,
Vegetable,Celery,2.88,0.44,0,0,0.25,0.02,0.01,0.72,61.11,0.00,0.00,34.72,2.78,1.39,100.00,
Vegetable,Morel,2.88,5.74,0,0,0.3,0.06,0.08,6.17,93.03,0.00,0.00,4.86,0.97,1.30,100.16,
Vegetable,Brussels Sprout,2.94,0.25,0.09,0.12,0.23,0.07,0.03,0.78,32.05,11.54,15.38,29.49,8.97,3.85,101.28,
Vegetable,Cauliflower,2.1,0.31,0,0,0.3,0.03,0.08,0.72,43.06,0.00,0.00,41.67,4.17,11.11,100.00,
Vegetable,Cucumber,2.64,0.2,0,0,0.26,0.02,0.03,0.51,39.22,0.00,0.00,50.98,3.92,5.88,100.00,
Vegetable,Butternut Squash,2.99,0.21,0,0,0.33,0.03,0.08,0.64,32.81,0.00,0.00,51.56,4.69,12.50,101.56,
Vegetable,Artichoke,2.64,0.62,0,0,0.6,0.05,1.29,2.56,24.22,0.00,0.00,23.44,1.95,50.39,100.00,
Vegetable,Avocado,2.81,0.88,0,0,0.51,0.03,0.14,1.55,56.77,0.00,0.00,32.90,1.94,9.03,100.65,
Vegetable,Courgette,2.95,0.18,0,0,0.26,0.02,0.03,0.5,36.00,0.00,0.00,52.00,4.00,6.00,98.00,
Vegetable,Spinach,2.58,0.12,0,0,0.25,0.05,0.01,0.42,28.57,0.00,0.00,59.52,11.90,2.38,102.38,
Vegetable,French Bean,2.09,0.12,0,0,0.26,0.03,0.04,0.45,26.67,0.00,0.00,57.78,6.67,8.89,100.00,
Vegetable,Romaine Lettuce,2.66,0.18,0,0,0.4,0.07,0.22,0.87,20.69,0.00,0.00,45.98,8.05,25.29,100.00,
Vegetable,Sweet Corn,2.52,0.45,0.12,0.12,0.21,0.07,0.03,0.99,45.45,12.12,12.12,21.21,7.07,3.03,101.01,
Vegetable,Turnip,2.83,0.08,0,0,0.26,0.02,0.03,0.4,20.00,0.00,0.00,65.00,5.00,7.50,97.50,
Vegetable,Onion,2.39,0.1,0,0,0.27,0.02,0.03,0.42,23.81,0.00,0.00,64.29,4.76,7.14,100.00,
Vegetable,Asparagus,2.75,0.97,0,0,0.42,0.04,0.22,1.64,59.15,0.00,0.00,25.61,2.44,13.41,100.61,
Vegetable,Garden Peas,1.76,0.32,0.07,0.12,0.21,0.07,0.03,0.81,39.51,8.64,14.81,25.93,8.64,3.70,101.23,
Vegetable,Leek,2.52,0.21,0,0,0.3,0.02,0.08,0.61,34.43,0.00,0.00,49.18,3.28,13.11,100.00,
Vegetable,Pumpkin,2.99,0.21,0,0,0.33,0.03,0.08,0.64,32.81,0.00,0.00,51.56,4.69,12.50,101.56,
Vegetable,Tomato,2.77,0.33,0,0,0.32,0.03,0.08,0.75,44.00,0.00,0.00,42.67,4.00,10.67,101.33,
